Organization,Specialization Score,Pricing Tier,Market Position,Category
Deloitte Canada,3,Premium,Generalist Leader,Big Four
KPMG Canada,4,Premium,Generalist Leader,Big Four
PwC Canada,3,Premium,Generalist Leader,Big Four
EY Canada,5,Premium,Specialist Leader,Big Four
McKinsey & Company,4,Premium,Generalist Leader,Global Consulting
Accenture Canada,5,Premium,Specialist Leader,Global Consulting
Mercer Canada,7,Premium,Specialist Leader,HR Consulting
Korn Ferry Canada,6,Premium,Specialist Leader,Executive Search
Egon Zehnder,6,Premium,Niche Specialist,Executive Search
Boyden Canada,5,Premium,Niche Specialist,Executive Search
Odgers Berndtson,5,Premium,Niche Specialist,Executive Search
CCDI,6,Low-Mid,Market Anchor,Nonprofit
Catalyst Canada,8,Mid,Specialist Leader,Nonprofit Research
Diversio,9,Mid-Premium,Disruptive Innovator,DEI Tech
CultureAlly,7,Low,Emerging Challenger,DEI Tech
Mathison,9,Mid,Disruptive Innovator,DEI Tech
Hive Learning,8,Mid-Premium,Disruptive Innovator,DEI Tech
Anima Leadership,9,Mid,Niche Specialist,Boutique
Turner Consulting,8,Mid,Niche Specialist,Boutique
Feminuity,9,Mid,Emerging Challenger,Boutique
Tidal Equality,10,Mid-Premium,Disruptive Innovator,Boutique
Indigenous Corporate Training,10,Low-Mid,Niche Specialist,Training
The Humphrey Group,8,Mid-Premium,Niche Specialist,Training
Pride at Work Canada,10,Low-Mid,Niche Specialist,Nonprofit
CRRF,7,Low,Market Anchor,Government
BPTN,10,Mid,Disruptive Innovator,Membership
Dialogue,8,Mid,Disruptive Innovator,Health Tech
InkblotTherapy,8,Mid,Emerging Challenger,Health Tech
Shift Health,10,Mid-Premium,Niche Specialist,Boutique
Normandin Beaudry,8,Mid-Premium,Niche Specialist,HR Consulting
Kelsey Consulting,10,Mid,Niche Specialist,Boutique
Seefar Consulting,10,Mid,Niche Specialist,Boutique
TMU Diversity Institute,7,Low-Mid,Market Anchor,Academic
Reconciliation Canada,9,Low-Mid,Niche Specialist,Nonprofit
Canadian Women's Foundation,9,Low,Market Anchor,Nonprofit
Diversify Canada,4,Low-Mid,Emerging Challenger,Training
Bakau Consulting,10,Mid,Niche Specialist,Boutique
Veza Global,8,Mid-Premium,Emerging Challenger,Boutique
Elevate Inclusion Strategies,9,Mid-Premium,Niche Specialist,Boutique
KBRS,7,Mid-Premium,Niche Specialist,Executive Search
