Organization,Category,Firm Size,Service Focus,Geographic Reach
Deloitte Canada,Big Four / Global Consulting,Enterprise (500+),"DEI Strategy, Culture Transformation, Inclusive Leadership, Equity Audits, Workf",National
KPMG Canada,Big Four / Global Consulting,Enterprise (500+),"Inclusion Strategy, Pay Equity Analysis, Governance Advisory, Workforce Planning",National
PwC Canada,Big Four / Global Consulting,Enterprise (500+),"Belonging Strategy, Inclusive Culture Assessment, Talent Analytics, Bias Mitigat",National
EY Canada,Big Four / Global Consulting,Enterprise (500+),"Inclusive Leadership, Workforce Transformation, Culture Diagnostics, Accessibili",National
McKinsey & Company Canada,Big Four / Global Consulting,Enterprise (500+),"DEI Strategy, Board Diversity, Women in Leadership Research, Organization Design",National
Accenture Canada,Big Four / Global Consulting,Enterprise (500+),"DEI Tech Solutions, Inclusive Design, Workforce Analytics, Culture Change",National
Anima Leadership,Boutique DEI Consultancy,Small (5-25),"Anti-Racism Consulting, Organizational Change, Leadership Development, DEI Strat",National
Turner Consulting Group,Boutique DEI Consultancy,Small (5-25),"Employment Systems Review, Equity Audits, Policy Development, Training",National
Feminuity,Boutique DEI Consultancy,Small (5-25),"Inclusive Product Design, DEI Strategy, Hiring Audits, Culture Assessments",National
Tidal Equality,Boutique DEI Consultancy,Small (5-25),"Inclusion Infrastructure Design, Systems-Level DEI, Behavioral Science for Inclu",National
Kelsey Consulting,Boutique DEI Consultancy,Solo/Micro (1-5),"DEI Strategy for Resource Sector, Indigenous Relations, Inclusive Leadership",National
Living Hyphen,Boutique DEI Consultancy,Solo/Micro (1-5),"Storytelling-Based DEI, Community Engagement, Cultural Programming, Consulting",National
Inclusive Excellence Canada,Boutique DEI Consultancy,Small (5-25),"Employer Inclusion Standards, Benchmarking, Accreditation, Training",National
Empowered EDI,Boutique DEI Consultancy,Small (5-25),"EDI Strategy, Board Governance, Inclusive Hiring, Capacity Building",National
Bakau Consulting,Boutique DEI Consultancy,Solo/Micro (1-5),"Anti-Black Racism Consulting, Organizational Assessments, Policy Development",National
Birch Cove Consulting,Boutique DEI Consultancy,Solo/Micro (1-5),"Equity Assessments, Policy Development, Community Engagement, Facilitation","Halifax, NS"
Veza Global,Boutique DEI Consultancy,Small (5-25),"Inclusive Leadership, Executive Coaching, DEI Measurement, Culture Transformatio",National
DiversiPro,Boutique DEI Consultancy,Small (5-25),"Equity Strategy, Organizational Assessment, Anti-Racism Training, Accessibility",National
Seefar Consulting,Boutique DEI Consultancy,Solo/Micro (1-5),"Safety & Inclusion Integration, Indigenous Relations, Field-Level DEI",National
GoodPeople Consulting,Boutique DEI Consultancy,Solo/Micro (1-5),"Board Governance Equity, Volunteer DEI, Community Organization Capacity Building",National
Equity Matters Consulting,Boutique DEI Consultancy,Solo/Micro (1-5),"Indigenous Equity Consulting, Cultural Safety, Treaty Education, Policy Developm","Winnipeg, MB"
Elevate Inclusion Strategies,Boutique DEI Consultancy,Small (5-25),"ERG Strategy, Inclusive Culture, Leadership Development, DEI Measurement",National
Strandberg Consulting,Boutique DEI Consultancy,Solo/Micro (1-5),"CSR-DEI Integration, Sustainability Strategy, Social Impact, Stakeholder Engagem",National
TurnAround Consulting,Boutique DEI Consultancy,Solo/Micro (1-5),"Indigenous Cultural Competency, Anti-Racism, Organizational Assessment",National
Realize Strategies,Boutique DEI Consultancy,Small (5-25),"GBA+, Results-Based Management, Inclusive Evaluation, Policy Development",National
Adjuvant Consulting,Boutique DEI Consultancy,Solo/Micro (1-5),"Gender Mainstreaming, GBA+ Analysis, International DEI, Policy Development",National
CCDI,Nonprofit DEI Organization,Mid-size (25-100),"Employer Partnerships, Research, Toolkits, Webinars, Workplace Inclusion Assessm",National
Catalyst Canada,Nonprofit DEI Organization,Mid-size (25-100),"Research, Executive Programs, Employee Resource Group Support, Workplace Assessm",National
CRRF,Nonprofit DEI Organization,Mid-size (25-100),"Anti-Racism Research, Policy Development, Community Grants, Training Programs",National
Canadian Women's Foundation,Nonprofit DEI Organization,Mid-size (25-100),"Gender Equity Research, Grant-Making, Advocacy, Training",National
Blueprint for All,Nonprofit DEI Organization,Small (5-25),"Community Equity Programs, Research, Policy Advocacy, Youth Programs",National
Mosaic Institute,Nonprofit DEI Organization,Small (5-25),"Interfaith Dialogue, Community Bridge-Building, Civic Engagement, Research",National
Reconciliation Canada,Nonprofit DEI Organization,Mid-size (25-100),"Reconciliation Programs, Walking Together, Corporate Reconciliation Strategy, Ed",National
BGC Canada,Nonprofit DEI Organization,Large (100-500),"Youth DEI Programming, Community Inclusion, Volunteer Training, Cultural Program",Multiple locations
WoodGreen Community Services,Nonprofit DEI Organization,Large (100-500),"Employment Equity Programs, Newcomer Employment Support, Employer Training",National
SeeChange Initiative,Nonprofit DEI Organization,Small (5-25),"Youth Employment Equity, Employer Training, Anti-Racism Education, Mentoring",National
Diversio Foundation,Nonprofit DEI Organization,Small (5-25),"Startup Ecosystem Equity, VC Diversity Programs, Founder Support",National
Diversio,DEI Technology Platform,Small (5-25),"AI-Powered DEI Measurement, Inclusion Analytics, Benchmarking Platform, Bias Det",National
CultureAlly,DEI Technology Platform,Solo/Micro (1-5),"DEI Calendar, Inclusion Toolkits, Automated Awareness Content",National
Mathison,DEI Technology Platform,Mid-size (25-100),"Inclusive Hiring Platform, Job Description Bias Scanner, Diversity Sourcing","New York, NY (Canadian Ops)"
Hive Learning,DEI Technology Platform,Mid-size (25-100),"Digital DEI Learning Platform, Peer Learning, Behavior Change Programs","London, UK (Canadian Ops)"
Korn Ferry Canada,Executive Search / DEI,Enterprise (500+),"Inclusive Leadership Assessment, Board Diversity Search, DEI Strategy, Talent As",National
Egon Zehnder Canada,Executive Search / DEI,Large (100-500),"Board Diversity Search, CEO Succession, Leadership Assessment, Governance Adviso",National
Boyden Canada,Executive Search / DEI,Large (100-500),"Diverse Executive Search, Board Diversity, Leadership Assessment, Succession",National
KBRS,Executive Search / DEI,Mid-size (25-100),"Diverse Executive Search, Board Diversity, Leadership Assessment, Succession","Halifax, NS"
Odgers Berndtson Canada,Executive Search / DEI,Large (100-500),"Diverse Executive Search, Board Composition Advisory, CEO Succession, Assessment",National
Indigenous Corporate Training,Training Provider,Small (5-25),"Indigenous Awareness Training, Cultural Competency, Reconciliation Consulting",National
Diversify Canada,Training Provider,Small (5-25),"DEI Training Programs, Inclusive Hiring, Workplace Culture Workshops",National
Global Makeshift,Training Provider,Small (5-25),"Intercultural Competency, Global DEI, Cross-Cultural Training, Immigration Suppo",National
The Humphrey Group,Training Provider,Mid-size (25-100),"Inclusive Communication Training, Executive Presence, Leadership Communication",National
Diversio Academy,Training Provider,Small (5-25),"DEI Certification Programs, Online Learning, Skills Development",National
Aberisam Group,Training Provider,Small (5-25),"Anti-Racism Workshops, Inclusive Leadership, DEI Facilitation, Team Development",National
ENGAGE! Community,Training Provider,Small (5-25),"Community Engagement, Inclusive Consultation, Civic Participation, Anti-Racism",National
Centric Consulting Canada,HR Consulting Firm,Mid-size (25-100),"HR Transformation, DEI Integration, Talent Management, Organizational Developmen",National
Optimus SBR,HR Consulting Firm,Mid-size (25-100),"Organizational Review, DEI Strategy, Change Management, Leadership Development",National
Mercer Canada,HR Consulting Firm,Enterprise (500+),"Pay Equity, DEI Metrics, Workforce Planning, Total Rewards Equity",National
Normandin Beaudry,HR Consulting Firm,Large (100-500),"Pay Equity Analysis, Total Rewards Equity, DEI Strategy, Benefits Design",National
Stratford Group,HR Consulting Firm,Mid-size (25-100),"Organizational Development, DEI Integration, Change Management, HR Strategy",National
Dorval Consulting Group,HR Consulting Firm,Small (5-25),"HR Strategy, DEI Integration, Talent Management, Organizational Design",National
Lean In Canada,Membership Network,Small (5-25),"Women's Leadership Circles, Mentoring Programs, Gender Equity Research, Events",National
Pride at Work Canada,Membership Network,Small (5-25),"LGBTQ2S+ Workplace Inclusion, Employer Certification, Training, Research",National
Indigenous Works,Membership Network,Small (5-25),"Indigenous Awareness Training, Cultural Competency, Reconciliation Consulting",National
Inclusive Employers Canada,Membership Network,Small (5-25),"Employer Inclusion Standards, Benchmarking, Accreditation, Training",National
CivicAction,Membership Network,Mid-size (25-100),"DiverseCity Fellows Program, Leadership Development, Civic Engagement",National
Ascend Canada,Membership Network,Small (5-25),"Pan-Asian Leadership Development, Networking, Mentoring, Corporate Partnerships",National
BPTN,Membership Network,Mid-size (25-100),"Black Talent Recruitment, Corporate Partnerships, Community Building, Events",National
Centre for Social Innovation,Membership Network,Mid-size (25-100),"Inclusive Workspace, Social Innovation Community, DEI Programs, Capacity Buildin",National
Shift Health,Health/Wellness DEI,Small (5-25),"Health Equity Consulting, Patient Equity, Clinical Trial Diversity, Provider Tra",National
Dialogue,Health/Wellness DEI,Mid-size (25-100),"Mental Health Equity, Inclusive Wellness Programs, Culturally Competent Care",National
InkblotTherapy,Health/Wellness DEI,Mid-size (25-100),"Culturally Responsive Therapy, Inclusive EAP, Mental Health Equity",National
Lee-Anne Goodman Consulting,Speaker-Led Consultancy,Solo/Micro (1-5),"Keynote Speaking, DEI Workshop Facilitation, Leadership Development",National
Hamlin Grange,Speaker-Led Consultancy,Solo/Micro (1-5),"Keynote Speaking, Board Advisory, DEI Strategy, Governance Consulting",National
Bernardo Ferdman Consulting,Speaker-Led Consultancy,Solo/Micro (1-5),"Inclusion Research, Executive Education, Keynote Speaking, Academic Programs","San Diego, CA (Canadian Ops)"
Humber College Centre,Academic / Research,Large (100-500),"DEI Curriculum Development, Community Partnerships, Equity Research, Training",National
TMU Diversity Institute,Academic / Research,Mid-size (25-100),"DEI Research, Policy Advisory, Workforce Development, Community Programs",National
Intercultural Institute of Montreal,Academic / Research,Small (5-25),"Intercultural Mediation, Community Integration, Anti-Racism Training",National
Newcomer Kitchen / Amal Centre,Social Enterprise / Community,Small (5-25),"Newcomer Women Employment, Social Enterprise, Community Building, Cultural Excha",National
ICC,Social Enterprise / Community,Mid-size (25-100),"Newcomer Inclusion, Cultural Access Programs, Citizenship Engagement",National
